# mapping_set_id: https://w3id.org/lmodel/mellea/mappings/mellea-to-ai-atlas-nexus.sssom.tsv
# mapping_set_description: Manually curated alignment of the Mellea LinkML schema (linkml/src/mellea/schema/mellea.yaml) to the IBM ai-atlas-nexus AI Risk Ontology. Subjects are Mellea schema elements (classes and enum permissible values); objects are concepts from the ai-atlas-nexus schema modules (common, ai_system, ai_eval, ai_intrinsic, ai_capability, ai_aiuc, ai-risk-ontology). Mappings express conceptual alignment only -- the schemas have different modelling intents (Mellea = runtime/code architecture; ai-atlas-nexus = AI governance ontology).
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: 2026-05-26
# curie_map:
#  mellea: https://w3id.org/lmodel/mellea/
#  nexus: https://ibm.github.io/ai-atlas-nexus/ontology/
#  airo: https://w3id.org/airo#
#  linkml: https://w3id.org/linkml/
# creator_id:
#  - https://github.com/lmodel/mellea
# see_also:
#   - https://github.com/mapping-commons/semantic-mapping-vocabulary/issues/27
#   - https://github.com/mapping-commons/semantic-mapping-vocabulary/pull/29
#   - https://github.com/IBM/ai-atlas-nexus
#subject_source: mellea
#subject_source_version: '2026-05-26'
#object_source: nexus
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
mellea:TelemetryMetricSpec	TelemetryMetricSpec	skos:relatedMatch	nexus:AiEval	AiEval	semapv:LLMBasedMatching	0.5	Mellea telemetry feeds into observability; nexus AiEval is the offline evaluation analogue.
mellea:PluginSpec	PluginSpec	skos:relatedMatch	nexus:AIComponent	AIComponent	semapv:LLMBasedMatching	0.4	Plugins are pluggable runtime components; nexus AIComponent is closest available umbrella.
mellea:HookPayloadSpec	HookPayloadSpec	skos:relatedMatch	nexus:Fact	Fact	semapv:LLMBasedMatching	0.3	Hook payloads carry runtime observation data; nexus Fact represents an observed statement. Weak alignment.
mellea:ApiModelSpec	ApiModelSpec	skos:relatedMatch	nexus:Input	Input	semapv:LLMBasedMatching	0.4	ApiModelSpec describes HTTP wire models; nexus Input describes inputs accepted by an AI system. Surface-only similarity.
mellea:FormatterSpec	FormatterSpec	skos:relatedMatch	nexus:Modality	Modality	semapv:LLMBasedMatching	0.3	Formatters shape output representation; modalities describe input/output type. Weak conceptual link.
mellea:ContextSpec	ContextSpec	skos:relatedMatch	nexus:AiLifecyclePhase	AiLifecyclePhase	semapv:LLMBasedMatching	0.25	Mellea contexts carry conversational history; nexus lifecycle phases are higher-level AI lifecycle stages. Very weak link.
mellea:PythonPackage	PythonPackage	skos:narrowMatch	nexus:Entity	Entity	semapv:LLMBasedMatching	0.3	PythonPackage is a code-level entity; nexus Entity is the abstract root for all identifiable resources.
mellea:NamedElement	NamedElement	skos:closeMatch	nexus:Entity	Entity	semapv:LLMBasedMatching	0.8	Both are the abstract root carrying id/name/description on every concrete subclass.
mellea:BackendFamilyEnum.HUGGINGFACE	HUGGINGFACE	skos:relatedMatch	nexus:AiProvider	AiProvider	semapv:LLMBasedMatching	0.6	HuggingFace backend family corresponds to the HuggingFace AiProvider organisation.
mellea:BackendFamilyEnum.OPENAI	OPENAI	skos:relatedMatch	nexus:AiProvider	AiProvider	semapv:LLMBasedMatching	0.6	OpenAI backend family corresponds to the OpenAI AiProvider organisation.
mellea:BackendFamilyEnum.WATSONX	WATSONX	skos:relatedMatch	nexus:AiProvider	AiProvider	semapv:LLMBasedMatching	0.6	Watsonx backend family corresponds to the IBM watsonx AiProvider.
mellea:BackendFamilyEnum.OLLAMA	OLLAMA	skos:relatedMatch	nexus:AiProvider	AiProvider	semapv:LLMBasedMatching	0.6	Ollama backend family corresponds to the Ollama runtime AiProvider.
mellea:BackendFamilyEnum.BEDROCK	BEDROCK	skos:relatedMatch	nexus:AiProvider	AiProvider	semapv:LLMBasedMatching	0.6	AWS Bedrock backend family corresponds to the Bedrock AiProvider.
mellea:BackendFamilyEnum.LITELLM	LITELLM	skos:relatedMatch	nexus:AiProvider	AiProvider	semapv:LLMBasedMatching	0.5	LiteLLM is a meta-provider gateway -- maps to AiProvider as the closest available concept.
mellea:ComponentCategoryEnum.INSTRUCTION	INSTRUCTION	skos:relatedMatch	nexus:Input	Input	semapv:LLMBasedMatching	0.4	Instruction components are inputs in conversational AI; nexus Input is the analogous concept.
mellea:ComponentCategoryEnum.DOCUMENT	DOCUMENT	skos:relatedMatch	nexus:Dataset	Dataset	semapv:LLMBasedMatching	0.4	Document components carry retrieval-style context; nexus Dataset is the closest available concept.
mellea:ComponentCategoryEnum.INTRINSIC	INTRINSIC	skos:closeMatch	nexus:LLMIntrinsic	LLMIntrinsic	semapv:LLMBasedMatching	0.8	Intrinsic component category names the same construct as nexus LLMIntrinsic.
mellea:ComponentCategoryEnum.REQUIREMENT	REQUIREMENT	skos:relatedMatch	nexus:Requirement	Requirement	semapv:LLMBasedMatching	0.4	Same name collision as RequirementSpec vs nexus Requirement; runtime validator vs governance requirement.
mellea:HookTypeEnum.VALIDATION_POST_CHECK	VALIDATION_POST_CHECK	skos:relatedMatch	nexus:AiEval	AiEval	semapv:LLMBasedMatching	0.4	Post-check hook outputs are conceptually adjacent to evaluation results, though emitted at runtime.
mellea:HookTypeEnum.GENERATION_POST_CALL	GENERATION_POST_CALL	skos:relatedMatch	nexus:EvaluationResultRecord	EvaluationResultRecord	semapv:LLMBasedMatching	0.4	Generation post-call payload carries the per-call generation result; loosely analogous to an evaluation record.
mellea:PluginModeEnum.AUDIT	AUDIT	skos:relatedMatch	nexus:RiskControl	RiskControl	semapv:LLMBasedMatching	0.4	Audit-mode plugins implement runtime governance checks; nexus RiskControl is the governance-side analogue.
